air_temperature_2m,black_sky_albedo,black_sky_albedo_avhrr,cee,cer,cfc,cot,cph,cth,ctp,ctt,fapar_tip,gross_primary_productivity,iwp,latent_energy,leaf_area_index,lwp,max_air_temperature_2m,min_air_temperature_2m,net_ecosystem_exchange,net_radiation,par,precipitation,precipitation_era5,sensible_heat,stemp,terrestrial_ecosystem_respiration,white_sky_albedo,white_sky_albedo_avhrr,time
294.3033,0.054231048,0.1481132,0.7335729,12.858556,0.54580617,6.7213917,0.7571141,5.00489,600.8233,272.05685,0.20040233,5.4728355,49.609653,10.137719,0.65960425,49.3993,300.07846,289.4151,-0.9803956,12.967238,104.994286,3.5870273,0.08481109,2.5124218,295.0729,4.054601,0.06323578,0.15238626,2001-01-05
294.06393,0.0547006,0.14324509,0.7335729,12.858556,0.54580617,6.7213917,0.7571141,5.00489,600.8233,272.05685,0.19361787,5.254573,49.609653,9.506692,0.6367645,49.3993,299.31683,290.27124,-0.8346132,12.333978,97.48572,3.185243,0.110481314,2.499584,295.0729,4.0428495,0.06502198,0.14689805,2001-01-13
293.84207,0.053148475,0.13571973,0.7335729,12.858556,0.54580617,6.7213917,0.7571141,5.00489,600.8233,272.05685,0.22775981,4.896469,49.609653,9.0948715,0.55040187,49.3993,298.91852,290.1,-0.82600224,11.751306,88.01143,7.2705307,0.15044917,2.3402333,295.0729,3.8176422,0.06465106,0.13899,2001-01-21
293.66687,0.052383535,0.12804241,0.73740095,12.954879,0.5359223,6.395939,0.7545667,5.111065,593.0472,271.52954,0.31441027,5.263164,47.776234,10.57385,0.7978279,46.766113,298.97195,286.4593,-0.96761274,14.153911,122.51428,0.0041960077,0.06878142,3.5150936,295.09152,3.9652028,0.06543992,0.12802465,2001-01-29
294.09616,0.05363141,0.12419911,0.7641974,13.629138,0.466735,4.1177735,0.7367349,5.85429,538.6146,267.83844,0.3553816,5.00953,34.94232,10.368669,0.97490764,28.333838,300.06467,288.10977,-0.8147919,14.031088,120.32,0.02448223,0.08564822,3.5049095,295.2219,3.8867912,0.06838656,0.12502554,2001-02-06
294.82794,0.054963924,0.119807795,0.7641974,13.629138,0.466735,4.1177735,0.7367349,5.85429,538.6146,267.83844,0.37743706,5.1641173,34.94232,10.274188,1.0706276,28.333838,300.89282,288.51245,-0.76155764,14.140298,125.98,0.017904423,0.024516173,3.553541,295.2219,4.137239,0.069896944,0.12409312,2001-02-14
294.53354,0.055765964,0.12678882,0.7641974,13.629138,0.466735,4.1177735,0.7367349,5.85429,538.6146,267.83844,0.34429625,4.9588504,34.94232,9.597208,1.134888,28.333838,299.0654,290.25943,-0.7592715,13.0308,100.405716,2.9491408,0.040580563,2.7929482,295.2219,4.0452466,0.0691133,0.13239998,2001-02-22
294.3753,0.056826588,0.14769179,0.8064136,13.3253565,0.63615197,7.1098413,0.64373475,6.282489,522.46234,264.9257,0.29877952,4.9616756,81.931786,9.538692,1.1867341,42.64975,299.19165,289.5003,-0.76952434,13.00425,97.52571,0.91328984,0.075755455,2.7641764,295.75238,4.0372143,0.07058445,0.16736566,2001-03-02
294.46375,0.05666769,0.17465019,0.83174324,13.143088,0.73780173,8.905075,0.5879349,6.5394073,512.771,263.17807,0.21156721,4.9887724,110.12536,9.730942,0.8403395,51.23926,300.33606,290.38046,-0.78207695,13.506897,103.72,1.9732827,0.24000844,2.9438744,296.07065,4.056574,0.06984932,0.19896461,2001-03-10
294.26474,0.057035565,0.20049436,0.83174324,13.143088,0.73780173,8.905075,0.5879349,6.5394073,512.771,263.17807,0.15924506,4.7922406,110.12536,8.632241,0.70599073,51.23926,299.42422,290.45746,-0.66705775,12.022776,83.24571,0.33680385,0.11767113,2.358754,296.07065,4.1259956,0.06980834,0.2121474,2001-03-18
294.82336,0.057038598,0.20092182,0.83174324,13.143088,0.73780173,8.905075,0.5879349,6.5394073,512.771,263.17807,0.23653604,4.5552936,110.12536,8.113144,1.1249944,51.23926,299.36075,289.9911,-0.5689249,11.339941,87.53714,8.728921,0.43918937,2.1819627,296.07065,4.067488,0.07338592,0.19881643,2001-03-26
295.0587,0.0562622,0.19289751,0.827855,20.368269,0.8033098,7.528527,0.46160573,7.3521285,468.39975,258.19946,0.25449258,5.2102513,149.66003,9.337834,1.1937437,51.446648,299.8804,290.93726,-0.8706138,13.254432,102.69143,0.31713432,0.09446207,2.670814,296.46655,4.1673098,0.07526414,0.17667894,2001-04-03
295.36465,0.057031,0.19047478,0.82655895,22.776648,0.82514566,7.0696797,0.41949624,7.623034,453.6094,256.53992,0.2943686,4.922373,162.83818,8.90702,1.3331418,51.515778,300.42136,291.22025,-0.7957794,12.491357,103.80572,4.793965,0.19796841,2.4009795,296.5985,4.0856643,0.07258602,0.172564,2001-04-11
294.89233,0.058464296,0.18303895,0.82655895,22.776648,0.82514566,7.0696797,0.41949624,7.623034,453.6094,256.53992,0.33895332,5.2149997,162.83818,8.862328,1.6206499,51.515778,301.0702,291.4426,-0.804893,12.537038,100.994286,5.6481185,0.24639206,2.3727033,296.5985,4.258828,0.07048883,0.1762286,2001-04-19
295.27942,0.059632275,0.18241563,0.82655895,22.776648,0.82514566,7.0696797,0.41949624,7.623034,453.6094,256.53992,0.31841448,5.4195733,162.83818,9.661473,1.4979222,51.515778,300.45267,291.51578,-0.9022799,13.319632,111.04,1.9537249,0.2954005,2.542742,296.5985,4.1858006,0.06833892,0.17528428,2001-04-27
295.2496,0.061695654,0.18498029,0.79553854,21.840136,0.9262801,6.684265,0.30857006,8.615815,403.22894,250.39333,0.2825009,5.158,112.492966,8.477303,1.1949321,50.792137,301.16055,291.7924,-0.7236872,11.508989,96.26857,3.389894,0.15954305,2.1834219,296.07666,4.3524327,0.068714365,0.18624838,2001-05-05
294.9996,0.0626216,0.17666924,0.79553854,21.840136,0.9262801,6.684265,0.30857006,8.615815,403.22894,250.39333,0.2277645,5.658855,112.492966,9.321682,0.84133065,50.792137,300.27103,291.491,-0.94742924,12.620867,105.20571,1.4597046,0.3552861,2.3851829,296.07666,4.346436,0.068493426,0.18567733,2001-05-13
295.08963,0.06184156,0.17535388,0.79553854,21.840136,0.9262801,6.684265,0.30857006,8.615815,403.22894,250.39333,0.20068873,5.9885726,112.492966,9.973264,0.70646507,50.792137,301.09894,291.07062,-1.0796,13.546843,112.76667,2.155099,0.2609622,2.7478662,296.07666,4.4177003,0.06683104,0.18398026,2001-05-21
294.53036,0.058736756,0.17357428,0.79176074,22.024586,0.91547066,6.357651,0.3115596,8.623294,402.69626,250.17336,0.19828385,5.5071363,107.67635,8.843528,0.71360373,48.421345,299.7998,290.8864,-0.8534116,11.920873,92.32,4.4079075,0.41645905,2.3453355,296.04343,4.394225,0.063696995,0.18050022,2001-05-29
294.4052,0.05647181,0.16680694,0.7653161,23.315735,0.83980507,4.0713563,0.33248636,8.675646,398.9675,248.63356,0.185644,5.958049,73.96013,9.755451,0.46970332,31.825815,299.63885,290.8641,-1.0032241,13.259687,104.96571,6.120541,0.29890972,2.5497642,295.81085,4.3896217,0.063301906,0.17011397,2001-06-06
294.7739,0.05378836,0.16940749,0.7653161,23.315735,0.83980507,4.0713563,0.33248636,8.675646,398.9675,248.63356,0.13744432,5.852896,73.96013,9.466369,0.32687145,31.825815,299.6827,290.34714,-1.0139309,12.922594,96.51,1.5563543,0.18674338,2.338733,295.81085,4.249612,0.062277336,0.17090516,2001-06-14
